ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI
35328,Filip Filipovi,M,21,196,101,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze,26.29112869637651
35328,Filip Filipovi,M,25,196,101,Serbia,SRB,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Bronze,26.29112869637651
35328,Filip Filipovi,M,29,196,101,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold,26.29112869637651
35330,Nenad Filipovi,M,29,182,74,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,,22.34029706557179
35330,Nenad Filipovi,M,33,182,74,Serbia,SRB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk,,22.34029706557179
35330,Nenad Filipovi,M,37,182,74,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,,22.34029706557179
35331,Ognjen Filipovi,M,26,194,96,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",,25.507492826017643
35331,Ognjen Filipovi,M,30,194,96,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",,25.507492826017643
35331,Ognjen Filipovi,M,30,194,96,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",,25.507492826017643
35332,Predrag Filipovi,M,25,182,72,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,,21.736505252988767
35332,Predrag Filipovi,M,29,182,72,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,,21.736505252988767
35332,Predrag Filipovi,M,33,182,72,Serbia,SRB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,,21.736505252988767
35332,Predrag Filipovi,M,37,182,72,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,,21.736505252988767
35333,ore Filipovi,M,21,185,82,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,,23.959094229364496
35605,Gaper Fistravec,M,21,187,88,Slovenia,SLO,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,,25.165146272412706
35723,Rok Flander,M,26,180,78,Slovenia,SLO,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Parallel Giant Slalom,,24.074074074074073
35723,Rok Flander,M,30,180,78,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Parallel Giant Slalom,,24.074074074074073
35723,Rok Flander,M,34,180,78,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Giant Slalom,,24.074074074074073
35723,Rok Flander,M,34,180,78,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Slalom,,24.074074074074073
35771,Nika Fleiss,F,17,167,63,Croatia,CRO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,22.589551436050055
35771,Nika Fleiss,F,17,167,63,Croatia,CRO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Slalom,,22.589551436050055
35771,Nika Fleiss,F,21,167,63,Croatia,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Super G,,22.589551436050055
35771,Nika Fleiss,F,21,167,63,Croatia,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,22.589551436050055
35771,Nika Fleiss,F,21,167,63,Croatia,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Slalom,,22.589551436050055
35771,Nika Fleiss,F,21,167,63,Croatia,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Combined,,22.589551436050055
35771,Nika Fleiss,F,25,167,63,Croatia,CRO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,22.589551436050055
35771,Nika Fleiss,F,25,167,63,Croatia,CRO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,,22.589551436050055
35853,Filip Flisar,M,22,181,95,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Ski Cross,,28.997893837184456
35853,Filip Flisar,M,26,181,95,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Ski Cross,,28.997893837184456
36624,Urban Franc,M,22,185,69,Slovenia,SLO,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",,20.16070124178232
